Announced,Implemented,,Addition,Addition Ticker,Removal,Removal Ticker,Removal Type,Reason for Removal
12/29/1999,1/5/2000,After Close,Young & Rubicam,YNR,General Instrument Corp,GIC,M&A,Acquisition by Motorola
1/24/2000,1/28/2000,After Close,Harley-Davidson,HDI,Fleetwood Enterprises,FLE,Failure,Lack of representation
1/24/2000,1/28/2000,After Close,"Biogen, Inc",BGEN,Foster Wheeler,FWC,Failure,Lack of representation
1/26/2000,1/28/2000,After Close,Conexant Systems,CNXT,Consolidated Natural Gas,CNG,M&A,Bought by Dominion Resources
3/8/2000,3/15/2000,After Close,Sabre Holdings Corp,TSG,Service Corp. International,SRV,Failure,Lack of representation
3/27/2000,3/31/2000,After Close,Linear Technology Corp,LLTC,"Pharmacia & Upjohn, Inc",PNU,M&A,Merger with Monsanto
3/29/2000,3/31/2000,After Close,Veritas Software,VRTS,Pep Boys,PBY,Failure,Lack of representation
4/12/2000,4/17/2000,After Close,Altera Corp,ALTR,Atlantic Richfield,ARC,M&A,Acquisition by BP Amoco
4/12/2000,6/5/2000,After Close,Convergys Corp,CVG,Times Mirror,TMC,M&A,Acquisition by Tribune Company
5/1/2000,5/4/2000,After Close,"Siebel Systems, Inc",SEBL,CBS Corp,CBS,M&A,Acquisition by Viacom
5/2/2000,5/9/2000,After Close,Maxim Integrated Products,MXIM,Jostens Inc,JOS,M&A,Acquisition by Investcorp
5/3/2000,5/4/2000,After Close,Sapient Corp,SAPE,Reynolds Metals,RLM,M&A,Acquisition by Alcoa
5/11/2000,6/16/2000,After Close,MedImmune Inc,MEDI,Central & South West,CSR,M&A,Acquisition by American Electric Power
5/25/2000,6/2/2000,After Close,Agilent Technologies,A,NACCO Ind. Cl. A,NC,Failure,Lack of representation
5/25/2000,6/21/2000,After Close,Sanmina Corp,SANM,Warner-Lambert,WLA,M&A,Acquisition by Pfizer
5/26/2000,5/31/2000,After Close,American Power Conversion,APCC,Mirage Resorts,MIR,M&A,Acquisition by MGM Grand
6/5/2000,6/7/2000,After Close,Starbucks Corp,SBUX,Shared Medical Systems,SMS,M&A,Acquisition by Siemens
6/13/2000,6/20/2000,After Close,Tiffany & Co,TIF,Silicon Graphics,SGI,Other,Spins off large interest in MIPS Technologies
6/13/2000,6/16/2000,After Close,Novellus Systems,NVLS,Champion International,CHA,M&A,Acquisition by International Paper
6/15/2000,6/16/2000,After Close,Charter One Financial,CF,MediaOne Group Inc,UMG,M&A,Acquisition by AT&T Corp
6/19/2000,6/30/2000,After Close,Broadcom Corporation,BRCM,GTE Corp,GTE,M&A,Merger with Bell Atlantic
6/21/2000,6/28/2000,After Close,Visteon Corp,VC,IKON Office Solutions,IKN,Failure,Lack of representation
6/21/2000,6/28/2000,After Close,Mercury Interactive,MERQ,Milacron Inc,MZ,Failure,Market cap changes
6/27/2000,6/30/2000,After Close,Qwest Communications Int'l,Q,US West Inc,USW,M&A,Merger with Qwest
7/6/2000,7/12/2000,After Close,Stilwell Financial,SV,Kansas City Southern Ind,KSU,Other,Spins off Stilwell Financial
7/6/2000,7/14/2000,After Close,"CIT Group, Inc",CIT,Union Pacific Resources Group,UPR,M&A,Acquisition by Anadarko Petroleum
7/19/2000,7/26/2000,After Close,JDS Uniphase Corp,JDSU,Rite Aid,RAD,Failure,Lack of representation
